country name,average population,average urban population,average urban population ratio,average birth rate
"""Macao SAR, China""",484078.8181818182,484078.8181818182,1.0,4.762355769510504
"""Hong Kong SAR, China""",6843918.181818182,6843918.181818182,1.0,4.700480365792417
Singapore,4434809.090909091,4434809.090909091,1.0,4.560718423417257
Bermuda,63493.7,63493.7,1.0,4.358310108056566
Cayman Islands,55557.333333333336,55557.333333333336,1.0,4.199705077879927
Kuwait,2302827.5454545454,2263838.8181818184,0.9830691936312447,3.9681124720791896
Belgium,10520218.272727273,10233489.636363637,0.9727449916978477,4.4693686448290295
Puerto Rico,3794443.4545454546,3684401.3636363638,0.9709991485636006,4.328916809359933
Qatar,992905.9090909091,948040.0,0.954813534011508,4.112693700890297
San Marino,30834.571428571428,29036.285714285714,0.9416795619017615,4.576999309021395
Virgin Islands (U.S.),109398.18181818182,102907.63636363637,0.9406704449134936,4.3152179650017715
Malta,402858.2727272727,377034.9090909091,0.9358996317450691,4.596120350468174
Guam,168012.54545454544,156468.0,0.9312875986533474,3.9303721440963426
Iceland,300120.63636363635,276797.36363636365,0.9222870076184517,4.224246186796044
"""Venezuela, RB""",26576454.545454547,24484288.09090909,0.9212774431229283,3.8125891084399592
Uruguay,3318424.6363636362,3051198.4545454546,0.9194719750782073,4.181686572377249
American Samoa,64045.0,58691.0,0.9164025294714654,3.816712825623821
Israel,6943509.090909091,6358748.909090909,0.9157831905795603,3.841818746754898
Argentina,38681311.63636363,35331025.09090909,0.9133874627378201,4.032650993216761
Andorra,76166.54545454546,68643.72727272728,0.9012319892293443,4.543476616982752
United Kingdom,60363898.18181818,54165271.0,0.8973123444886263,4.415301423558754
Bahrain,835219.9090909091,738945.6363636364,0.8847318272955659,3.8675712428573124
Australia,20559581.818181816,18133858.545454547,0.8820149507816308,4.3428059215206005
Chile,16288062.545454545,14260261.818181818,0.8755038715246941,4.181686572377249
Lebanon,4020313.6363636362,3482180.4545454546,0.8661464675415419,4.069208588950558
New Zealand,4118254.5454545454,3551632.090909091,0.8624119883092572,4.236746349560276
Denmark,5431997.090909091,4673924.818181818,0.8604431740223184,4.430453228579356
Djibouti,809830.8181818182,696235.9090909091,0.8597300738122743,3.4975080618000636
Sweden,9072657.636363637,7651079.454545454,0.8433118234153981,4.485368986175471
Brazil,185416160.1818182,155875470.0909091,0.8406789890269455,4.017383521085972
Gabon,1370497.3636363635,1143208.3636363635,0.8341558283651636,3.5530779129548744
"""Bahamas, The""",319743.54545454547,265715.63636363635,0.8310273659657356,4.158156074967055
Luxembourg,467718.0909090909,387669.1818181818,0.8288522281972883,4.430453228579356
Greenland,56493.0,46791.444444444445,0.8282697758030986,4.149152798717096
Saudi Arabia,23864238.181818184,19460667.272727273,0.8154740630921993,3.74496892076498
"""Korea, Rep.""",48230363.63636363,38962225.27272727,0.807836025589312,4.605170185988092
United States,295728426.54545456,238874613.0909091,0.8077499207002786,4.262225434861261
Canada,32352488.727272727,25909144.636363637,0.8008393065143877,4.509860006183767
Netherlands,16296976.636363637,13042769.909090908,0.8003183780719438,4.438116101324925
Jordan,5415136.363636363,4243256.181818182,0.7835917503966155,3.5985402870316316
United Arab Emirates,4662851.7272727275,3629330.4545454546,0.7783499598148764,4.199705077879927
Libya,5785868.2727272725,4461587.909090909,0.7711181276147271,3.737306048019411
Norway,4652632.090909091,3585617.1818181816,0.7706642416072873,4.378396866623303
Spain,43356608.54545455,33296925.272727273,0.7679780866120831,4.534965927314843
France,63089594.09090909,48432554.72727273,0.7676789718679078,4.3428059215206005
Mexico,106602288.0909091,81350002.45454545,0.7631168515367249,3.841818746754898
Cuba,11221679.909090908,8486661.727272727,0.7562737304953344,4.4693686448290295
Palau,19652.14285714286,14584.42857142857,0.7421291752989495,4.268697949366879
Suriname,497668.2727272727,367844.0909090909,0.7391351047822837,3.9029731699082286
Colombia,43038783.36363637,31696157.545454547,0.736455705024291,3.846065037636349
Czech Republic,10309770.181818182,7591640.545454546,0.7363540032000714,4.596120350468174
Brunei Darussalam,363098.9090909091,267010.1818181818,0.735364869276791,3.8632328412587142
Germany,82272903.9090909,60410355.18181818,0.7342679340523802,4.773051058627251
Switzerland,7465209.818181818,5478306.181818182,0.7338449039269529,4.596120350468174
Russian Federation,143593753.72727272,104839692.18181819,0.7301131801383225,4.552060360674143
Dominica,69000.5,50044.0,0.725270106738357,4.199705077879927
Belarus,9764344.363636363,7042202.181818182,0.7212160816494982,4.614302669551364
West Bank and Gaza,3544797.8181818184,2542523.8181818184,0.7172549602521247,3.294383377376346
Oman,2470306.090909091,1768359.3636363635,0.7158462549009844,3.889550149576088
Peru,27520366.727272727,19577344.818181816,0.7113765965473359,3.8125891084399592
Panama,3237654.8181818184,2288483.090909091,0.7068335630029401,3.8291869998489974
Marshall Islands,52244.666666666664,36760.0,0.7036124899511275,3.3524072174927233
Bulgaria,7773194.454545454,5459490.909090909,0.702348428437734,4.651690201622984
Estonia,1349775.4545454546,937109.7272727273,0.694270831579394,4.526527058668979
Cyprus,1028506.5454545454,713868.8181818182,0.6940829120988491,4.400375773342079
Latvia,2302661.5454545454,1567681.9090909092,0.6808129975443042,4.670921563550872
Italy,58571708.36363637,39663076.72727273,0.6771712459030328,4.651690201622984
Ukraine,47264655.72727273,31990497.545454547,0.6768376295819571,4.651690201622984
Malaysia,26012325.454545453,17564318.272727273,0.6752306057149552,3.8125891084399592
Turkey,68174186.0,45870160.90909091,0.6728376765523963,3.9537924183044413
Iraq,27872287.363636363,18666314.90909091,0.6697087564275028,3.2992973921787754
"""Iran, Islamic Rep.""",69724854.54545455,46672262.45454545,0.6693776954976535,4.022446823042519
Lithuania,3409826.272727273,2280194.5454545454,0.6687128208531231,4.642211457668441
Dominican Republic,9262542.909090908,6180531.636363637,0.6672607832453472,3.75269096685889
Austria,8210766.818181818,5469832.2727272725,0.6661780067380485,4.661259652639135
Hungary,10097175.363636363,6701932.0,0.6637432508239995,4.632821717318602
Japan,127541382.45454545,84178100.0909091,0.6600061758065808,4.720683073109936
"""Macedonia, FYR""",2037023.3636363635,1332468.2727272727,0.6541251791774424,4.461463465321916
Tunisia,10044618.181818182,6565634.7272727275,0.6536470185753023,4.058626479620021
Armenia,3072023.4545454546,1974168.6363636365,0.6426281132204897,4.236746349560276
Bolivia,9133455.636363637,5868809.181818182,0.6425617439309936,3.549908338193595
New Caledonia,232696.72727272726,148355.72727272726,0.6375496940223404,4.032650993216761
Ecuador,13414564.636363637,8545738.363636363,0.6370492517118994,3.7881976553158
Algeria,32936437.363636363,20854984.181818184,0.6331888282745247,3.871928548226268
Philippines,85417074.36363636,53565951.90909091,0.6271105901034575,3.5985402870316316
Finland,5256609.7272727275,3283520.6363636362,0.624646075459594,4.509860006183767
Costa Rica,4301546.181818182,2656783.3636363638,0.6176345089275299,4.037792392717179
"""Korea, Dem. Rep.""",23693070.181818184,14625374.181818182,0.6172848883485578,4.163986995277847
Poland,38200664.18181818,23483085.363636363,0.6147297662644637,4.605170185988092
Ireland,4164210.3636363638,2521411.3636363638,0.6054956746792592,4.163986995277847
Greece,11110977.0,6720817.909090909,0.6048809127307985,4.587151680485413
"""Congo, Rep.""",3560182.1818181816,2146685.6363636362,0.6029707264214569,3.309198463161487
Montenegro,628981.4545454546,377375.9090909091,0.5999793894775912,4.349823494179247
El Salvador,6058253.818181818,3625199.6363636362,0.5983901871994558,3.829186999848997
South Africa,47137769.45454545,27980068.363636363,0.5935806612703068,3.7762214642690846
Paraguay,5897922.636363637,3453950.727272727,0.5856215722426397,3.6531613715118567
Liberia,3306796.909090909,1925708.6363636365,0.5823486259677931,3.183157742266122
Sao Tome and Principe,152842.45454545456,88762.18181818182,0.5807429753870147,3.3948539077399804
Portugal,10496784.272727273,6045922.909090909,0.5759785808687539,4.569452103386013
Cape Verde,470095.7272727273,269900.1818181818,0.5741387682547442,3.714663571269651
Botswana,1880028.0,1077668.0909090908,0.573219170623571,3.6925224453924375
Kazakhstan,15322998.636363637,8777868.0,0.5728557580869896,3.9826405726420995
Mongolia,2563227.3636363638,1458568.8181818181,0.5690360671370939,3.8460650376363485
Croatia,4434909.090909091,2510536.3636363638,0.5660851918661857,4.661259652639135
Slovak Republic,5394521.0,3042050.3636363638,0.5639148246223091,4.578262733068167
Nicaragua,5427439.363636363,3038732.5454545454,0.5598832786256328,3.663743480842394
Morocco,30385634.90909091,16722768.0,0.5503511132820466,3.885115552508222
Cameroon,17587220.454545453,9568771.545454545,0.5440752602257554,3.2822029588194748
Angola,16480203.545454545,8926192.636363637,0.5416312129728275,3.079113882493042
"""Gambia, The""",1506875.7272727273,813627.6363636364,0.5399434217685684,3.1964029690161424
Romania,21727809.727272727,11708531.363636363,0.5388730622461143,4.605170185988092
Syrian Arab Republic,18328570.454545453,9770488.363636363,0.5330742180830201,3.6852496860633575
Seychelles,84058.63636363637,44608.36363636364,0.5306815047937317,4.017383521085972
Jamaica,2649988.4545454546,1397484.4545454546,0.5273549219236736,4.012345727056015
Georgia,4382163.636363637,2307841.272727273,0.5266442479638535,4.422848629194137
French Polynesia,254671.72727272726,132055.54545454544,0.5185324137418973,3.997382854379303
Serbia,7423630.818181818,3832980.909090909,0.5163215955867907,4.605170185988092
Azerbaijan,8463184.090909092,4368813.545454546,0.5162139330216625,4.112693700890297
Isle of Man,79814.33333333333,40894.0,0.5123641117092586,4.509860006183766
Fiji,829248.9090909091,421727.1818181818,0.5085652536830153,3.760473107300945
Belize,293935.0909090909,148100.63636363635,0.5038549017934078,3.622070784441826
Slovenia,2009390.1818181819,993391.4545454546,0.49437459361257136,4.642211457668441
Indonesia,226999190.45454547,109187359.63636364,0.48100329969338557,3.916578821964007
Ghana,21695099.09090909,10403607.909090908,0.47953723859460673,3.4084966841437665
Turkmenistan,4758774.909090909,2261978.272727273,0.4753278555802483,3.792221805615526
Guatemala,12752520.636363637,6040022.181818182,0.4736335940202396,3.365479299060076
Cote d'Ivoire,18082819.90909091,8483162.909090908,0.46912831913047504,3.3292996424825736
Aruba,100064.45454545454,46742.27272727273,0.4671216461389886,4.371176618649816
Honduras,6891312.090909091,3214290.909090909,0.46642654790386734,3.5435991690003306
Nigeria,140307543.63636363,65037271.45454545,0.46353367587350225,3.1941832122778293
St. Vincent and the Grenadines,108678.27272727272,50007.09090909091,0.4601388083760157,4.002345643721432
Bosnia and Herzegovina,3765967.727272727,1725339.1818181819,0.4581396620378512,4.651690201622984
Albania,3137913.6363636362,1407532.0909090908,0.4485566698196978,4.25579454453097
Kiribati,89567.5,38894.5,0.4342479135847266,3.5935692743096115
Haiti,9335387.090909092,3999912.5454545454,0.4284677760550183,3.556257565872254
Moldova,3596935.272727273,1538460.6363636365,0.4277142955639407,4.422848629194137
"""Egypt, Arab Rep.""",74266212.0,31680638.636363637,0.4265821264233005,3.714663571269651
Mauritius,1239456.5454545454,526643.3636363636,0.4248986102560198,4.218054216548123
Senegal,10910091.181818182,4554286.636363637,0.41743799941410376,3.2418653430928996
Sudan,30655712.545454547,12537564.727272727,0.40897971980532954,3.344645212157234
Faeroe Islands,48572.0,19856.0,0.40879519064481595,4.268697949366879
Mauritania,3048409.909090909,1237695.9090909092,0.40601360906217904,3.334388711990045
China,1302350454.5454545,526473525.45454544,0.4042487362883402,4.392995666044456
Benin,7651433.909090909,3075522.0,0.4019536777735054,3.1853531328295572
Togo,5411486.090909091,2169101.5454545454,0.4008328782547331,3.365479299060076
Equatorial Guinea,608644.7272727273,238087.54545454544,0.39117655142005514,3.2701691192557516
Barbados,270481.45454545453,104112.0,0.3849136354836628,4.501629507047252
Central African Republic,4033069.3636363638,1540803.5454545454,0.38204241150598517,3.299297392178775
Sierra Leone,5073880.0,1876469.1818181819,0.36982923952048175,3.1809671608863033
Uzbekistan,26315854.545454547,9714056.363636363,0.36913322905237905,3.833379878109033
Zimbabwe,12543790.090909092,4513111.7272727275,0.35978852440647363,3.524907035988178
Kyrgyz Republic,5161954.545454546,1854273.0,0.3592191646927256,3.7922218056155255
Somalia,8359444.545454546,2955111.727272727,0.35350575163269327,3.1010927892118176
Namibia,2085518.5454545454,735302.9090909091,0.35257557919756954,3.549908338193595
Zambia,11524832.909090908,4051942.090909091,0.3515835867531647,3.1112451606758356
Pakistan,158874699.36363637,55730010.45454545,0.35077964381848625,3.549908338193595
Mozambique,20773999.727272727,7212766.909090909,0.3472016464706974,3.1897584262974736
Maldives,294945.45454545453,100851.72727272728,0.34193348539021085,3.982640572642099
Guinea,9088541.909090908,3016270.272727273,0.33187614722997727,3.2030919571669387
St. Kitts and Nevis,46410.5,15139.0,0.3261977354262505,4.074541934925921
"""Congo, Dem. Rep.""",57535108.63636363,18683406.09090909,0.324730525999228,3.0692809615768035
Thailand,66454104.90909091,21572542.363636363,0.32462317253610684,4.3152179650017715
Antigua and Barbuda,79081.5,25160.0,0.3181527917401668,3.937340813412436
Bhutan,654153.6363636364,204928.27272727274,0.3132723894442368,3.756574466885288
Channel Islands,149089.54545454544,45981.36363636364,0.3084144062293253,4.642211457668441
Myanmar,46405613.18181818,14305791.818181818,0.3082771853941768,3.9777743829909267
Grenada,102845.72727272728,31695.363636363636,0.30818357239395633,3.963316299815697
Mali,13238110.272727273,4066917.3636363638,0.30721283324062465,3.03277354523434
Guinea-Bissau,1371920.3636363635,408044.2727272727,0.2974256258181962,3.2143406697028096
"""Yemen, Rep.""",20741624.181818184,6046136.818181818,0.291497751824169,3.2372249635363977
India,1139737707.0,328757161.3636364,0.2884498418754486,3.7297014486341915
Madagascar,17947956.90909091,5146455.545454546,0.28674325281268026,3.2797845779551933
Guyana,744983.1818181818,211504.36363636365,0.28390488375881584,3.9396745367586563
Comoros,645277.0909090909,180931.0909090909,0.28039286293921933,3.232606017680103
St. Lucia,164712.36363636365,45820.454545454544,0.27818467013570763,4.218054216548123
Lao PDR,5757553.7272727275,1593709.4545454546,0.27680322755761283,3.653161371511857
Vietnam,82336300.0,21845954.818181816,0.2653259232948507,4.074541934925921
Tajikistan,6486799.090909091,1716061.3636363635,0.2645467108795359,3.5467487779032267
Timor-Leste,986376.0,259167.0,0.26274666050268863,3.216605676333662
Bangladesh,139913660.0,36157166.27272727,0.2584248476719662,3.75269096685889
Chad,9750912.909090908,2490285.6363636362,0.255389998821742,3.0614836511167716
Tanzania,39074491.27272727,9532245.454545455,0.24395059651611262,3.174424062297367
Swaziland,1023112.8181818182,248333.27272727274,0.24272325428254113,3.4767049341703005
Tonga,100969.09090909091,24383.363636363636,0.24149334629859723,3.562647363971025
Vanuatu,211499.18181818182,50090.545454545456,0.23683564647359479,3.4621061347491477
Lesotho,2067679.6363636365,484855.63636363635,0.23449263021051792,3.5187531704137998
Afghanistan,30005285.90909091,6925301.454545454,0.230802715079187,3.059543786298945
Samoa,180099.36363636365,40596.818181818184,0.22541344601187324,3.572309274882762
"""Micronesia, Fed. Sts.""",109161.72727272728,24463.727272727272,0.22410535160924697,3.605206978389821
Kenya,35712389.63636363,7464330.909090909,0.20901236195884412,3.2630177180981264
Cambodia,13331464.0,2647010.1818181816,0.19855360085120297,3.722154242998809
Eritrea,4467964.818181818,880176.1818181818,0.19699711560762878,3.2797845779551933
Burkina Faso,14272136.272727273,2643260.1818181816,0.1852042421196052,3.117386428697918
Malawi,12924045.272727273,2266797.909090909,0.17539383848139076,3.1277064377299078
Solomon Islands,471283.9090909091,80880.90909090909,0.1716182274224589,3.386756697507361
Rwanda,9310203.636363637,1582765.4545454546,0.17000331210410005,3.209825989348283
Niger,13085082.272727273,2145902.090909091,0.16399607172373007,2.986682438034073
Ethiopia,74253849.0909091,12062491.090909092,0.16244937115840238,3.3217142710933167
Nepal,27235607.363636363,4329935.181818182,0.1589806727644083,3.5690782543013153
Sri Lanka,19662636.363636363,3000175.4545454546,0.15258256314468144,3.9777743829909267
Liechtenstein,34579.181818181816,5039.363636363636,0.14573403335164878,4.526527058668979
Papua New Guinea,6105097.7272727275,776537.2727272727,0.12719489636641212,3.4195465203303517
Uganda,28584390.09090909,3615386.090909091,0.12648113461266117,3.0556753095210247
Trinidad and Tobago,1316146.6363636365,161799.63636363635,0.12293435388831016,4.211900350973745
Burundi,7303547.636363637,705420.6363636364,0.09658602524222848,3.344645212157234
